mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,H,telescope|move_to_top,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>tdC,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:156,y
i,<C-t>,telescope|select_tab,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>g0<space>,git log current file <0Gclog>,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:57,y
n,<backspace><a-p>pp,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:298,y
n,<esc>,telescope|close,2026-05-17T20:14:35Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>gR,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:111,y
n,Sdsb,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/dap.lua:67,y
n,<backspace><a-r>pp,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:299,y
n,<leader>tdv,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:158,y
n,c,Check for updates and show the log (git fetch),2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<C-t>,telescope|select_tab,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>xm.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:301,y
n,<leader>tdf,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:159,y
i,<c-s>,telescope|select_horizontal,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>tlS,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:175,y
n,<C-f>,telescope|preview_scrolling_left,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
i,<C-G>,which-key-trigger,2026-05-17T19:59:40Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<leader>sp,Open package.json file in a floating window,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:331,y
i,<Down>,telescope|move_selection_next,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>se,Open .envrc file in a floating window,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:335,y
n,<backspace>A.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:133,y
n,<leader>sP,Open .projections.json file in a floating window,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:339,y
n,<a-'>,"telescopej|{""linedefined"":103,""source"":""@/home/kanon/.config/nvim/lua/plugins/telescope.lua""}",2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>k.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:305,y
n,gW,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:164,y
n,<leader>sr,Open requirements.txt file in a floating window,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:346,y
n,sm,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:255,y
n,<backspace><a-p>k.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:306,y
n,<backspace><a-r>A.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:135,y
n,<leader>sc,Open Cargo.toml file in a floating window,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:353,y
n,<leader>tlr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:173,y
n,<backspace><a-r>k.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:307,y
n,[[,Jump to previous section,2026-05-17T19:59:39Z,,0,...are/bob/v0.11.5/share/nvim/runtime/ftplugin/markdown.lua:8,y
n,<leader><leader>tw,create work todo,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:361,y
n,<leader>tls,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:174,y
n,gO,Show an Outline of the current buffer,2026-05-17T19:59:39Z,,0,...are/bob/v0.11.5/share/nvim/runtime/ftplugin/markdown.lua:1,y
x,"""",which-key-trigger registers,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,z,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,!,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<backspace>.sd,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:310,y
x,g,which-key-trigger,2026-05-17T20:15:51Z,2026-05-17T20:22:32Z,1,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<leader><leader>tl,create work todo,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:373,y
x,<Space>,which-key-trigger,2026-05-17T20:15:51Z,2026-05-17T22:28:41Z,2,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,[,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<backspace>o,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:141,y
i,<a-l>,telescope|smart_send_to_loclist + open_loclist,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:65,y
s,<a-l>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:65,y
x,Sc,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,SC,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,s,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,S,which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
i,<a-s-k>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:77,y
s,<a-s-k>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/luasnip.lua:77,y
